image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0001x2,0.197,0.53,0.215,0.736842105263158,0.736842105263158,0.736842105263158,0.389,1.453,0.379,,,,DIV2K_train_LR_bicubic_X2,0.20309022556391,0.519045,0.228227101631117,0.736842105263158,0.736842105263158,0.736842105263158,0.38580125,1.4643225,0.3777
0002x2,0.191,0.52,0.208,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.572,0.332,,,,,,,,,,,,,
0003x2,0.21,0.535,0.223,0.736842105263158,0.736842105263158,0.736842105263158,0.412,1.5,0.41,,,,,,,,,,,,,
0004x2,0.218,0.52,0.244,0.736842105263158,0.736842105263158,0.736842105263158,0.389,1.483,0.385,,,,,,,,,,,,,
0005x2,0.161,0.529,0.182,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.448,0.405,,,,,,,,,,,,,
0006x2,0.203,0.5,0.238,0.736842105263158,0.736842105263158,0.736842105263158,0.372,1.372,0.372,,,,,,,,,,,,,
0007x2,0.158,0.479,0.182,0.736842105263158,0.736842105263158,0.736842105263158,0.358,1.423,0.347,,,,,,,,,,,,,
0008x2,0.198,0.548,0.244,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.491,0.399,,,,,,,,,,,,,
0009x2,0.225,0.534,0.278,0.736842105263158,0.736842105263158,0.736842105263158,0.397,1.521,0.371,,,,,,,,,,,,,
0010x2,0.208,0.577,0.225,0.736842105263158,0.736842105263158,0.736842105263158,0.397,1.606,0.375,,,,,,,,,,,,,
0011x2,0.209,0.503,0.254,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.52,0.344,,,,,,,,,,,,,
0012x2,0.201,0.533,0.205,0.736842105263158,0.736842105263158,0.736842105263158,0.403,1.512,0.361,,,,,,,,,,,,,
0013x2,0.203,0.535,0.235,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.484,0.399,,,,,,,,,,,,,
0014x2,0.167,0.466,0.15,0.736842105263158,0.736842105263158,0.736842105263158,0.35,1.297,0.323,,,,,,,,,,,,,
0015x2,0.215,0.489,0.236,0.736842105263158,0.736842105263158,0.736842105263158,0.382,1.436,0.343,,,,,,,,,,,,,
0016x2,0.181,0.529,0.236,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.457,0.382,,,,,,,,,,,,,
0017x2,0.201,0.491,0.217,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.486,0.335,,,,,,,,,,,,,
0018x2,0.194,0.522,0.22,0.736842105263158,0.736842105263158,0.736842105263158,0.391,1.514,0.383,,,,,,,,,,,,,
0019x2,0.184,0.539,0.16,0.736842105263158,0.736842105263158,0.736842105263158,0.364,1.46,0.371,,,,,,,,,,,,,
0020x2,0.199,0.543,0.243,0.736842105263158,0.736842105263158,0.736842105263158,0.382,1.481,0.412,,,,,,,,,,,,,
0021x2,0.158,0.441,0.137,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.4,0.309,,,,,,,,,,,,,
0022x2,0.17,0.434,0.159,0.736842105263158,0.736842105263158,0.736842105263158,0.357,1.315,0.297,,,,,,,,,,,,,
0023x2,0.181,0.515,0.187,0.736842105263158,0.736842105263158,0.736842105263158,0.386,1.461,0.392,,,,,,,,,,,,,
0024x2,0.258,0.548,0.325,0.736842105263158,0.736842105263158,0.736842105263158,0.385,1.462,0.417,,,,,,,,,,,,,
0025x2,0.186,0.45,0.211,0.736842105263158,0.736842105263158,0.736842105263158,0.382,1.211,0.4,,,,,,,,,,,,,
0026x2,0.175,0.545,0.211,0.736842105263158,0.736842105263158,0.736842105263158,0.427,1.598,0.355,,,,,,,,,,,,,
0027x2,0.2,0.545,0.23,0.736842105263158,0.736842105263158,0.736842105263158,0.402,1.549,0.387,,,,,,,,,,,,,
0028x2,0.206,0.562,0.248,0.736842105263158,0.736842105263158,0.736842105263158,0.391,1.606,0.363,,,,,,,,,,,,,
0029x2,0.183,0.511,0.194,0.736842105263158,0.736842105263158,0.736842105263158,0.36,1.416,0.319,,,,,,,,,,,,,
0030x2,0.24,0.491,0.247,0.736842105263158,0.736842105263158,0.736842105263158,0.373,1.463,0.346,,,,,,,,,,,,,
0031x2,0.189,0.538,0.251,0.736842105263158,0.736842105263158,0.736842105263158,0.407,1.441,0.431,,,,,,,,,,,,,
0032x2,0.212,0.533,0.227,0.736842105263158,0.736842105263158,0.736842105263158,0.386,1.542,0.364,,,,,,,,,,,,,
0033x2,0.196,0.539,0.211,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.489,0.406,,,,,,,,,,,,,
0034x2,0.201,0.513,0.236,0.736842105263158,0.736842105263158,0.736842105263158,0.404,1.457,0.408,,,,,,,,,,,,,
0035x2,0.2,0.507,0.193,0.736842105263158,0.736842105263158,0.736842105263158,0.388,1.481,0.359,,,,,,,,,,,,,
0036x2,0.204,0.543,0.237,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.497,0.39,,,,,,,,,,,,,
0037x2,0.209,0.546,0.263,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.491,0.399,,,,,,,,,,,,,
0038x2,0.136,0.528,0.199,0.736842105263158,0.736842105263158,0.736842105263158,0.404,1.435,0.408,,,,,,,,,,,,,
0039x2,0.189,0.507,0.192,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.501,0.373,,,,,,,,,,,,,
0040x2,0.239,0.548,0.297,0.736842105263158,0.736842105263158,0.736842105263158,0.388,1.47,0.4,,,,,,,,,,,,,
0041x2,0.179,0.535,0.217,0.736842105263158,0.736842105263158,0.736842105263158,0.38,1.462,0.407,,,,,,,,,,,,,
0042x2,0.172,0.528,0.214,0.736842105263158,0.736842105263158,0.736842105263158,0.399,1.508,0.408,,,,,,,,,,,,,
0043x2,0.206,0.53,0.248,0.736842105263158,0.736842105263158,0.736842105263158,0.411,1.431,0.439,,,,,,,,,,,,,
0044x2,0.212,0.572,0.266,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.662,0.371,,,,,,,,,,,,,
0045x2,0.232,0.483,0.225,0.736842105263158,0.736842105263158,0.736842105263158,0.391,1.543,0.311,,,,,,,,,,,,,
0046x2,0.205,0.482,0.215,0.736842105263158,0.736842105263158,0.736842105263158,0.381,1.359,0.374,,,,,,,,,,,,,
0047x2,0.2,0.542,0.234,0.736842105263158,0.736842105263158,0.736842105263158,0.392,1.507,0.4,,,,,,,,,,,,,
0048x2,0.207,0.533,0.223,0.736842105263158,0.736842105263158,0.736842105263158,0.382,1.478,0.411,,,,,,,,,,,,,
0049x2,0.183,0.516,0.203,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.48,0.372,,,,,,,,,,,,,
0050x2,0.195,0.536,0.22,0.736842105263158,0.736842105263158,0.736842105263158,0.373,1.456,0.424,,,,,,,,,,,,,
0051x2,0.187,0.533,0.227,0.736842105263158,0.736842105263158,0.736842105263158,0.396,1.536,0.367,,,,,,,,,,,,,
0052x2,0.341,0.58,0.453,0.736842105263158,0.736842105263158,0.736842105263158,0.375,1.364,0.362,,,,,,,,,,,,,
0053x2,0.193,0.524,0.205,0.736842105263158,0.736842105263158,0.736842105263158,0.375,1.516,0.359,,,,,,,,,,,,,
0054x2,0.22,0.485,0.273,0.736842105263158,0.736842105263158,0.736842105263158,0.374,1.456,0.354,,,,,,,,,,,,,
0055x2,0.212,0.517,0.268,0.736842105263158,0.736842105263158,0.736842105263158,0.385,1.421,0.384,,,,,,,,,,,,,
0056x2,0.19,0.517,0.174,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.483,0.362,,,,,,,,,,,,,
0057x2,0.202,0.523,0.244,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.451,0.396,,,,,,,,,,,,,
0058x2,0.209,0.529,0.246,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.476,0.395,,,,,,,,,,,,,
0059x2,0.218,0.524,0.249,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.49,0.367,,,,,,,,,,,,,
