image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0001x3,1.058,0.764,0.474,0.736842105263158,0.736842105263158,0.736842105263158,1.442,2.002,0.755,,,,,DIV2K_train_LR_bicubic_X3,1.01056,0.74854875,0.485275689223058,0.730151215794083,0.736842105263158,0.735993253139707,1.50081625,2.04348875,0.80766625
0002x3,1.013,0.74,0.473,0.736842105263158,0.736842105263158,0.736842105263158,1.56,2.006,0.819,,,,,,,,,,,,,,
0003x3,1.094,0.768,0.473,0.736842105263158,0.736842105263158,0.736842105263158,1.59,1.976,0.824,,,,,,,,,,,,,,
0004x3,1.004,0.739,0.55,0.736842105263158,0.736842105263158,0.736842105263158,1.519,2.027,0.807,,,,,,,,,,,,,,
0005x3,1.055,0.828,0.425,0.736842105263158,0.736842105263158,0.736842105263158,1.543,1.984,0.867,,,,,,,,,,,,,,
0006x3,1.098,0.783,0.532,0.736842105263158,0.736842105263158,0.736842105263158,1.538,2.125,0.826,,,,,,,,,,,,,,
0007x3,0.84,0.7,0.385,0.736842105263158,0.736842105263158,0.736842105263158,1.439,2.07,0.798,,,,,,,,,,,,,,
0008x3,1.085,0.776,0.568,0.736842105263158,0.736842105263158,0.736842105263158,1.629,2.106,0.829,,,,,,,,,,,,,,
0009x3,1.023,0.744,0.574,0.736842105263158,0.736842105263158,0.736842105263158,1.557,2.112,0.8,,,,,,,,,,,,,,
0010x3,1.093,0.82,0.548,0.736842105263158,0.736842105263158,0.736842105263158,1.513,1.994,0.782,,,,,,,,,,,,,,
0011x3,0.97,0.74,0.588,0.736842105263158,0.736842105263158,0.736842105263158,1.617,2.294,0.805,,,,,,,,,,,,,,
0012x3,1.102,0.741,0.423,0.736842105263158,0.736842105263158,0.736842105263158,1.568,2.1,0.792,,,,,,,,,,,,,,
0013x3,1.101,0.775,0.5,0.736842105263158,0.736842105263158,0.736842105263158,1.531,2.02,0.806,,,,,,,,,,,,,,
0014x3,1.051,0.729,0.317,0.736842105263158,0.736842105263158,0.736842105263158,1.564,2.113,0.788,,,,,,,,,,,,,,
0015x3,0.86,0.707,0.471,0.736842105263158,0.736842105263158,0.736842105263158,1.412,2.185,0.822,,,,,,,,,,,,,,
0016x3,1.005,0.738,0.527,0.736842105263158,0.736842105263158,0.736842105263158,1.565,2.092,0.799,,,,,,,,,,,,,,
0017x3,0.842,0.697,0.448,0.736842105263158,0.736842105263158,0.736842105263158,1.487,2.201,0.891,,,,,,,,,,,,,,
0018x3,1.038,0.745,0.438,0.736842105263158,0.736842105263158,0.736842105263158,1.487,2.012,0.806,,,,,,,,,,,,,,
0019x3,1.086,0.783,0.417,0.736842105263158,0.736842105263158,0.736842105263158,1.531,2.016,0.786,,,,,,,,,,,,,,
0020x3,1.094,0.781,0.501,0.736842105263158,0.736842105263158,0.736842105263158,1.527,2.005,0.802,,,,,,,,,,,,,,
0021x3,0.713,0.626,0.268,0.736842105263158,0.736842105263158,0.736842105263158,1.502,2.235,0.824,,,,,,,,,,,,,,
0022x3,0.661,0.612,0.305,0.736842105263158,0.736842105263158,0.736842105263158,1.361,2.221,0.764,,,,,,,,,,,,,,
0023x3,1.074,0.74,0.402,0.736842105263158,0.736842105263158,0.736842105263158,1.581,2.092,0.813,,,,,,,,,,,,,,
0024x3,1.084,0.802,0.705,0.736842105263158,0.736842105263158,0.736842105263158,1.554,2.049,0.781,,,,,,,,,,,,,,
0025x3,1.056,0.755,0.49,0.736842105263158,0.736842105263158,0.736842105263158,1.478,2.09,0.83,,,,,,,,,,,,,,
0026x3,1.006,0.781,0.502,0.736842105263158,0.736842105263158,0.736842105263158,1.585,2.012,0.789,,,,,,,,,,,,,,
0027x3,1.107,0.774,0.487,0.736842105263158,0.736842105263158,0.736842105263158,1.581,2.046,0.814,,,,,,,,,,,,,,
0028x3,1.108,0.793,0.56,0.736842105263158,0.736842105263158,0.736842105263158,1.586,1.993,0.822,,,,,,,,,,,,,,
0029x3,1.062,0.722,0.333,0.736842105263158,0.736842105263158,0.736842105263158,1.426,1.928,0.747,,,,,,,,,,,,,,
0030x3,0.89,0.71,0.537,0.736842105263158,0.736842105263158,0.736842105263158,1.487,2.17,0.847,,,,,,,,,,,,,,
0031x3,1.072,0.784,0.532,0.736842105263158,0.736842105263158,0.736842105263158,1.527,1.996,0.798,,,,,,,,,,,,,,
0032x3,1.014,0.747,0.503,0.736842105263158,0.736842105263158,0.736842105263158,1.529,2.095,0.858,,,,,,,,,,,,,,
0033x3,1.089,0.753,0.458,0.736842105263158,0.736842105263158,0.736842105263158,1.586,2.07,0.837,,,,,,,,,,,,,,
0034x3,1.051,0.779,0.431,0.736842105263158,0.736842105263158,0.736842105263158,1.424,1.936,0.795,,,,,,,,,,,,,,
0035x3,0.941,0.706,0.399,0.736842105263158,0.736842105263158,0.736842105263158,1.592,2.199,0.858,,,,,,,,,,,,,,
0036x3,1.096,0.795,0.533,0.736842105263158,0.736842105263158,0.736842105263158,1.51,1.983,0.816,,,,,,,,,,,,,,
0037x3,1.089,0.799,0.592,0.736842105263158,0.736842105263158,0.736842105263158,1.473,1.986,0.821,,,,,,,,,,,,,,
0038x3,0.958,0.754,0.364,0.736842105263158,0.736842105263158,0.736842105263158,1.464,2.056,0.771,,,,,,,,,,,,,,
0039x3,0.911,0.703,0.378,0.736842105263158,0.736842105263158,0.736842105263158,1.555,2.133,0.825,,,,,,,,,,,,,,
0040x3,1.163,0.794,0.633,0.736842105263158,0.736842105263158,0.736842105263158,1.551,2.016,0.814,,,,,,,,,,,,,,
0041x3,1.047,0.774,0.467,0.736842105263158,0.736842105263158,0.736842105263158,1.514,2,0.808,,,,,,,,,,,,,,
0042x3,1.044,0.773,0.474,0.736842105263158,0.736842105263158,0.736842105263158,1.541,1.952,0.816,,,,,,,,,,,,,,
0043x3,1.087,0.784,0.513,0.736842105263158,0.736842105263158,0.736842105263158,1.543,1.924,0.784,,,,,,,,,,,,,,
0044x3,1.088,0.843,0.664,0.736842105263158,0.736842105263158,0.736842105263158,1.498,1.91,0.799,,,,,,,,,,,,,,
0045x3,0.822,0.674,0.449,0.736842105263158,0.736842105263158,0.736842105263158,1.565,2.308,0.875,,,,,,,,,,,,,,
0046x3,1.081,0.76,0.454,0.736842105263158,0.736842105263158,0.736842105263158,1.516,2.188,0.825,,,,,,,,,,,,,,
0047x3,1.097,0.774,0.496,0.736842105263158,0.736842105263158,0.736842105263158,1.495,2.035,0.831,,,,,,,,,,,,,,
0048x3,1.105,0.767,0.442,0.736842105263158,0.736842105263158,0.736842105263158,1.536,2.015,0.825,,,,,,,,,,,,,,
0049x3,1.009,0.719,0.414,0.736842105263158,0.736842105263158,0.736842105263158,1.609,2.155,0.804,,,,,,,,,,,,,,
