image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0001x4,0.127,0.377,0.076,0.736842105263158,0.736842105263158,0.736842105263158,0.287,1.15,0.139,,,,,,DIV2K_train_LR_bicubic_X4,0.148774324324324,0.33627625,0.140099853157122,0.689254641952841,0.736842105263158,0.731838166569793,0.30514625,1.117625,0.215046307884856
0002x4,0.115,0.293,0.102,0.736842105263158,0.736842105263158,0.736842105263158,0.293,1.002,0.258,,,,,,,,,,,,,,,
0003x4,0.106,0.316,0.063,0.736842105263158,0.736842105263158,0.736842105263158,0.355,1.338,0.316,,,,,,,,,,,,,,,
0004x4,0.185,0.364,0.197,0.736842105263158,0.736842105263158,0.736842105263158,0.309,1.119,0.231,,,,,,,,,,,,,,,
0005x4,0.07,0.367,,0.736842105263158,0.736842105263158,0.736842105263158,0.358,1.233,0.351,,,,,,,,,,,,,,,
0006x4,0.154,0.341,0.11,0.736842105263158,0.736842105263158,0.736842105263158,0.316,1.041,0.215,,,,,,,,,,,,,,,
0007x4,0.051,0.273,0.065,0.305738723855169,0.736842105263158,0.736842105263158,0.269,1.017,0.234,,,,,,,,,,,,,,,
0008x4,0.129,0.357,0.177,0.736842105263158,0.736842105263158,0.736842105263158,0.326,1.219,0.281,,,,,,,,,,,,,,,
0009x4,0.155,0.305,0.219,0.736842105263158,0.736842105263158,0.736842105263158,0.314,0.948,0.227,,,,,,,,,,,,,,,
0010x4,0.181,0.431,0.107,0.736842105263158,0.736842105263158,0.736842105263158,0.341,1.243,0.257,,,,,,,,,,,,,,,
0011x4,0.136,0.338,0.237,0.736842105263158,0.736842105263158,0.736842105263158,0.31,0.967,0.142,,,,,,,,,,,,,,,
0012x4,0.124,0.306,0.086,0.736842105263158,0.736842105263158,0.736842105263158,0.28,1.061,0.189,,,,,,,,,,,,,,,
