image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0001x2,0.182,0.536,0.2,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.492,0.404,,,,,,,DIV2K_train_LR_unknown_X2,0.203352941176471,0.52394375,0.229642857142857,0.736842105263158,0.736842105263158,0.736842105263158,0.39446,1.4849875,0.39137125
0002x2,0.205,0.544,0.218,0.736842105263158,0.736842105263158,0.736842105263158,0.399,1.63,0.353,,,,,,,,,,,,,,,,
0003x2,0.214,0.533,0.238,0.736842105263158,0.736842105263158,0.736842105263158,0.403,1.516,0.413,,,,,,,,,,,,,,,,
0004x2,0.215,0.522,0.248,0.736842105263158,0.736842105263158,0.736842105263158,0.398,1.482,0.398,,,,,,,,,,,,,,,,
0005x2,0.204,0.53,0.255,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.499,0.421,,,,,,,,,,,,,,,,
0006x2,0.202,0.5,0.231,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.369,0.382,,,,,,,,,,,,,,,,
0007x2,0.182,0.502,0.209,0.736842105263158,0.736842105263158,0.736842105263158,0.392,1.482,0.392,,,,,,,,,,,,,,,,
0008x2,0.2,0.543,0.242,0.736842105263158,0.736842105263158,0.736842105263158,0.405,1.505,0.411,,,,,,,,,,,,,,,,
0009x2,0.23,0.536,0.289,0.736842105263158,0.736842105263158,0.736842105263158,0.385,1.539,0.39,,,,,,,,,,,,,,,,
0010x2,0.206,0.572,0.218,0.736842105263158,0.736842105263158,0.736842105263158,0.399,1.617,0.383,,,,,,,,,,,,,,,,
0011x2,0.203,0.514,0.234,0.736842105263158,0.736842105263158,0.736842105263158,0.419,1.512,0.37,,,,,,,,,,,,,,,,
0012x2,0.194,0.534,0.202,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.51,0.379,,,,,,,,,,,,,,,,
0013x2,0.201,0.535,0.233,0.736842105263158,0.736842105263158,0.736842105263158,0.392,1.488,0.396,,,,,,,,,,,,,,,,
0014x2,0.178,0.467,0.178,0.736842105263158,0.736842105263158,0.736842105263158,0.387,1.35,0.372,,,,,,,,,,,,,,,,
0015x2,0.203,0.498,0.238,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.466,0.361,,,,,,,,,,,,,,,,
0016x2,0.203,0.532,0.261,0.736842105263158,0.736842105263158,0.736842105263158,0.405,1.492,0.406,,,,,,,,,,,,,,,,
