image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0001x4,0.114,0.376,0.085,0.736842105263158,0.736842105263158,0.736842105263158,0.274,1.185,0.192,,,,,DIV2K_train_LR_unknown_X4,0.148279161205767,0.34809,0.147124828532236,0.709373919315007,0.736842105263158,0.735249236487629,0.3127575,1.16099375,0.22553875
0002x4,0.168,0.345,0.162,0.736842105263158,0.736842105263158,0.736842105263158,0.322,1.097,0.278,,,,,,,,,,,,,,
0003x4,0.105,0.321,0.056,0.736842105263158,0.736842105263158,0.736842105263158,0.347,1.277,0.251,,,,,,,,,,,,,,
0004x4,0.179,0.371,0.197,0.736842105263158,0.736842105263158,0.736842105263158,0.314,1.162,0.237,,,,,,,,,,,,,,
0005x4,,0.315,,0.736842105263158,0.736842105263158,0.736842105263158,0.33,1.175,0.273,,,,,,,,,,,,,,
0006x4,0.158,0.342,0.123,0.736842105263158,0.736842105263158,0.736842105263158,0.317,1.045,0.229,,,,,,,,,,,,,,
0007x4,0.147,0.344,0.144,0.736842105263158,0.736842105263158,0.736842105263158,0.332,1.202,0.261,,,,,,,,,,,,,,
0008x4,0.122,0.353,0.166,0.736842105263158,0.736842105263158,0.736842105263158,0.347,1.196,0.24,,,,,,,,,,,,,,
0009x4,0.089,0.314,0.161,0.736842105263158,0.736842105263158,0.736842105263158,0.275,1.023,0.223,,,,,,,,,,,,,,
0010x4,0.187,0.414,0.123,0.736842105263158,0.736842105263158,0.736842105263158,0.354,1.252,0.249,,,,,,,,,,,,,,
0011x4,0.143,0.336,0.213,0.736842105263158,0.736842105263158,0.736842105263158,0.296,1.139,0.2,,,,,,,,,,,,,,
0012x4,0.14,0.343,0.09,0.736842105263158,0.736842105263158,0.736842105263158,0.334,1.161,0.182,,,,,,,,,,,,,,
0013x4,0.143,0.369,0.116,0.736842105263158,0.736842105263158,0.736842105263158,0.337,1.23,0.235,,,,,,,,,,,,,,
0014x4,0.058,0.222,,0.736842105263158,0.736842105263158,0.736842105263158,0.297,0.929,0.18,,,,,,,,,,,,,,
0015x4,0.08,0.271,0.114,0.330052939908677,0.736842105263158,0.736842105263158,0.234,0.88,0.17,,,,,,,,,,,,,,
0016x4,0.146,0.378,0.158,0.736842105263158,0.736842105263158,0.736842105263158,0.306,1.159,0.225,,,,,,,,,,,,,,
0017x4,0.153,0.312,0.144,0.736842105263158,0.736842105263158,0.736842105263158,0.281,0.956,0.182,,,,,,,,,,,,,,
0018x4,0.142,0.312,0.072,0.736842105263158,0.736842105263158,0.736842105263158,0.279,1.078,0.262,,,,,,,,,,,,,,
0019x4,0.1,0.383,,0.736842105263158,0.736842105263158,0.736842105263158,0.35,1.269,0.234,,,,,,,,,,,,,,
0020x4,0.168,0.405,0.169,0.736842105263158,0.736842105263158,0.736842105263158,0.357,1.365,0.264,,,,,,,,,,,,,,
0021x4,,0.164,0.064,0.338857452455185,0.736842105263158,0.736842105263158,0.219,0.763,0.126,,,,,,,,,,,,,,
0022x4,0.084,0.194,0.111,0.305809441877312,0.736842105263158,0.736842105263158,0.234,0.965,0.148,,,,,,,,,,,,,,
0023x4,0.098,0.298,,0.736842105263158,0.736842105263158,0.736842105263158,0.281,1.144,0.217,,,,,,,,,,,,,,
0024x4,0.313,0.484,0.248,0.736842105263158,0.736842105263158,0.736842105263158,0.352,1.354,0.233,,,,,,,,,,,,,,
0025x4,0.13,0.253,0.061,0.736842105263158,0.736842105263158,0.736842105263158,0.327,1.005,0.178,,,,,,,,,,,,,,
0026x4,0.144,0.387,0.122,0.736842105263158,0.736842105263158,0.736842105263158,0.34,1.328,0.244,,,,,,,,,,,,,,
0027x4,0.139,0.36,0.081,0.736842105263158,0.736842105263158,0.736842105263158,0.332,1.2,0.247,,,,,,,,,,,,,,
0028x4,0.157,0.364,0.15,0.736842105263158,0.736842105263158,0.736842105263158,0.318,1.124,0.26,,,,,,,,,,,,,,
0029x4,0.075,0.306,,0.736842105263158,0.736842105263158,0.736842105263158,0.241,1.063,0.14,,,,,,,,,,,,,,
0030x4,0.199,0.358,0.208,0.736842105263158,0.736842105263158,0.736842105263158,0.259,1.068,0.193,,,,,,,,,,,,,,
0031x4,0.135,0.371,0.143,0.736842105263158,0.736842105263158,0.736842105263158,0.32,1.247,0.24,,,,,,,,,,,,,,
0032x4,0.19,0.365,0.176,0.736842105263158,0.736842105263158,0.736842105263158,0.333,1.135,0.232,,,,,,,,,,,,,,
0033x4,0.112,0.307,0.063,0.736842105263158,0.736842105263158,0.736842105263158,0.328,1.089,0.217,,,,,,,,,,,,,,
0034x4,0.13,0.375,0.127,0.736842105263158,0.736842105263158,0.736842105263158,0.331,1.244,0.239,,,,,,,,,,,,,,
0035x4,0.111,0.285,0.084,0.736842105263158,0.736842105263158,0.736842105263158,0.278,1.01,0.196,,,,,,,,,,,,,,
0036x4,0.155,0.393,0.125,0.736842105263158,0.736842105263158,0.736842105263158,0.333,1.264,0.25,,,,,,,,,,,,,,
0037x4,0.183,0.409,0.217,0.736842105263158,0.736842105263158,0.736842105263158,0.353,1.319,0.248,,,,,,,,,,,,,,
0038x4,0.09,0.279,0.162,0.736842105263158,0.736842105263158,0.736842105263158,0.353,1.251,0.23,,,,,,,,,,,,,,
0039x4,0.079,0.275,0.11,0.736842105263158,0.736842105263158,0.736842105263158,0.295,1.076,0.219,,,,,,,,,,,,,,
0040x4,0.238,0.412,0.251,0.736842105263158,0.736842105263158,0.736842105263158,0.325,1.2,0.233,,,,,,,,,,,,,,
0041x4,0.083,0.314,0.089,0.736842105263158,0.736842105263158,0.736842105263158,0.325,1.231,0.237,,,,,,,,,,,,,,
0042x4,0.106,0.34,0.078,0.736842105263158,0.736842105263158,0.736842105263158,0.321,1.26,0.268,,,,,,,,,,,,,,
0043x4,0.133,0.383,0.077,0.736842105263158,0.736842105263158,0.736842105263158,0.357,1.417,0.277,,,,,,,,,,,,,,
0044x4,0.243,0.439,0.189,0.736842105263158,0.736842105263158,0.736842105263158,0.375,1.37,0.275,,,,,,,,,,,,,,
0045x4,0.19,0.27,0.201,0.355050208743597,0.736842105263158,0.736842105263158,0.257,0.756,0.146,,,,,,,,,,,,,,
0046x4,0.112,0.337,0.069,0.736842105263158,0.736842105263158,0.736842105263158,0.299,1.077,0.206,,,,,,,,,,,,,,
0047x4,0.141,0.391,0.067,0.736842105263158,0.736842105263158,0.736842105263158,0.313,1.19,0.263,,,,,,,,,,,,,,
0048x4,0.146,0.345,0.074,0.736842105263158,0.736842105263158,0.736842105263158,0.318,1.223,0.237,,,,,,,,,,,,,,
0049x4,0.077,0.295,0.117,0.736842105263158,0.736842105263158,0.736842105263158,0.3,1.032,0.187,,,,,,,,,,,,,,
0050x4,0.135,0.368,0.09,0.736842105263158,0.736842105263158,0.736842105263158,0.342,1.327,0.259,,,,,,,,,,,,,,
0051x4,0.122,0.327,,0.736842105263158,0.736842105263158,0.736842105263158,0.324,1.249,0.224,,,,,,,,,,,,,,
0052x4,0.38,0.559,0.495,0.228190154518788,0.736842105263158,0.736842105263158,0.303,1.177,0.204,,,,,,,,,,,,,,
0053x4,0.105,0.278,0.144,0.736842105263158,0.736842105263158,0.736842105263158,0.277,0.893,0.193,,,,,,,,,,,,,,
0054x4,0.147,0.354,0.212,0.736842105263158,0.736842105263158,0.736842105263158,0.303,1.162,0.269,,,,,,,,,,,,,,
0055x4,0.172,0.366,0.194,0.736842105263158,0.736842105263158,0.736842105263158,0.299,1.175,0.203,,,,,,,,,,,,,,
0056x4,0.088,0.257,,0.736842105263158,0.736842105263158,0.736842105263158,0.304,0.969,0.184,,,,,,,,,,,,,,
